Puntos turísticos;Viajeros y pernoctaciones;Residencia;Periodo;Total
03133 Torrevieja;Viajero;Residentes en España;2020M07;1.514
03133 Torrevieja;Viajero;Residentes en España;2020M06;.
03133 Torrevieja;Viajero;Residentes en España;2020M05;.
03133 Torrevieja;Viajero;Residentes en España;2020M04;0
03133 Torrevieja;Viajero;Residentes en España;2020M03;44
03133 Torrevieja;Viajero;Residentes en España;2020M02;565
03133 Torrevieja;Viajero;Residentes en España;2020M01;413
03133 Torrevieja;Viajero;Residentes en España;2019M12;1.027
03133 Torrevieja;Viajero;Residentes en España;2019M11;333
03133 Torrevieja;Viajero;Residentes en España;2019M10;651
03133 Torrevieja;Viajero;Residentes en España;2019M09;1.205
03133 Torrevieja;Viajero;Residentes en España;2019M08;3.764
03133 Torrevieja;Viajero;Residentes en España;2019M07;3.702
03133 Torrevieja;Viajero;Residentes en España;2019M06;1.495
03133 Torrevieja;Viajero;Residentes en España;2019M05;1.090
03133 Torrevieja;Viajero;Residentes en España;2019M04;1.149
03133 Torrevieja;Viajero;Residentes en España;2019M03;941
03133 Torrevieja;Viajero;Residentes en España;2019M02;657
03133 Torrevieja;Viajero;Residentes en España;2019M01;1.495
03133 Torrevieja;Viajero;Residentes en España;2018M12;1.745
03133 Torrevieja;Viajero;Residentes en España;2018M11;967
03133 Torrevieja;Viajero;Residentes en España;2018M10;1.050
03133 Torrevieja;Viajero;Residentes en España;2018M09;5.767
03133 Torrevieja;Viajero;Residentes en España;2018M08;10.611
03133 Torrevieja;Viajero;Residentes en España;2018M07;10.467
03133 Torrevieja;Viajero;Residentes en España;2018M06;3.720
03133 Torrevieja;Viajero;Residentes en España;2018M05;5.094
03133 Torrevieja;Viajero;Residentes en España;2018M04;2.207
03133 Torrevieja;Viajero;Residentes en España;2018M03;866
03133 Torrevieja;Viajero;Residentes en España;2018M02;673
03133 Torrevieja;Viajero;Residentes en España;2018M01;669
03133 Torrevieja;Viajero;Residentes en España;2017M12;860
03133 Torrevieja;Viajero;Residentes en España;2017M11;474
03133 Torrevieja;Viajero;Residentes en España;2017M10;552
03133 Torrevieja;Viajero;Residentes en España;2017M09;857
03133 Torrevieja;Viajero;Residentes en España;2017M08;2.371
03133 Torrevieja;Viajero;Residentes en España;2017M07;1.541
03133 Torrevieja;Viajero;Residentes en España;2017M06;1.939
03133 Torrevieja;Viajero;Residentes en España;2017M05;1.060
03133 Torrevieja;Viajero;Residentes en España;2017M04;1.710
03133 Torrevieja;Viajero;Residentes en España;2017M03;606
03133 Torrevieja;Viajero;Residentes en España;2017M02;461
03133 Torrevieja;Viajero;Residentes en España;2017M01;439
03133 Torrevieja;Viajero;Residentes en España;2016M12;591
03133 Torrevieja;Viajero;Residentes en España;2016M11;633
03133 Torrevieja;Viajero;Residentes en España;2016M10;568
03133 Torrevieja;Viajero;Residentes en España;2016M09;1.006
03133 Torrevieja;Viajero;Residentes en España;2016M08;1.701
03133 Torrevieja;Viajero;Residentes en España;2016M07;1.609
03133 Torrevieja;Viajero;Residentes en España;2016M06;591
03133 Torrevieja;Viajero;Residentes en España;2016M05;1.048
03133 Torrevieja;Viajero;Residentes en España;2016M04;542
03133 Torrevieja;Viajero;Residentes en España;2016M03;831
03133 Torrevieja;Viajero;Residentes en España;2016M02;678
03133 Torrevieja;Viajero;Residentes en España;2016M01;491
03133 Torrevieja;Viajero;Residentes en España;2015M12;629
03133 Torrevieja;Viajero;Residentes en España;2015M11;482
03133 Torrevieja;Viajero;Residentes en España;2015M10;569
03133 Torrevieja;Viajero;Residentes en España;2015M09;1.228
03133 Torrevieja;Viajero;Residentes en España;2015M08;3.061
03133 Torrevieja;Viajero;Residentes en España;2015M07;2.518
03133 Torrevieja;Viajero;Residentes en España;2015M06;1.621
03133 Torrevieja;Viajero;Residentes en España;2015M05;1.423
03133 Torrevieja;Viajero;Residentes en España;2015M04;835
03133 Torrevieja;Viajero;Residentes en España;2015M03;.
03133 Torrevieja;Viajero;Residentes en España;2015M02;.
03133 Torrevieja;Viajero;Residentes en España;2015M01;.
03133 Torrevieja;Viajero;Residentes en España;2014M12;.
03133 Torrevieja;Viajero;Residentes en España;2014M11;.
03133 Torrevieja;Viajero;Residentes en España;2014M10;.
03133 Torrevieja;Viajero;Residentes en España;2014M09;.
03133 Torrevieja;Viajero;Residentes en España;2014M08;.
03133 Torrevieja;Viajero;Residentes en España;2014M07;.
03133 Torrevieja;Viajero;Residentes en España;2014M06;.
03133 Torrevieja;Viajero;Residentes en España;2014M05;.
03133 Torrevieja;Viajero;Residentes en España;2014M04;.
03133 Torrevieja;Viajero;Residentes en España;2014M03;.
03133 Torrevieja;Viajero;Residentes en España;2014M02;.
03133 Torrevieja;Viajero;Residentes en España;2014M01;.
03133 Torrevieja;Viajero;Residentes en España;2013M12;..
03133 Torrevieja;Viajero;Residentes en España;2013M11;..
03133 Torrevieja;Viajero;Residentes en España;2013M10;..
03133 Torrevieja;Viajero;Residentes en España;2013M09;..
03133 Torrevieja;Viajero;Residentes en España;2013M08;..
03133 Torrevieja;Viajero;Residentes en España;2013M07;..
03133 Torrevieja;Viajero;Residentes en España;2013M06;..
03133 Torrevieja;Viajero;Residentes en España;2013M05;..
03133 Torrevieja;Viajero;Residentes en España;2013M04;..
03133 Torrevieja;Viajero;Residentes en España;2013M03;..
03133 Torrevieja;Viajero;Residentes en España;2013M02;..
03133 Torrevieja;Viajero;Residentes en España;2013M01;..
03133 Torrevieja;Viajero;Residentes en España;2012M12;..
03133 Torrevieja;Viajero;Residentes en España;2012M11;..
03133 Torrevieja;Viajero;Residentes en España;2012M10;..
03133 Torrevieja;Viajero;Residentes en España;2012M09;..
03133 Torrevieja;Viajero;Residentes en España;2012M08;..
03133 Torrevieja;Viajero;Residentes en España;2012M07;..
03133 Torrevieja;Viajero;Residentes en España;2012M06;..
03133 Torrevieja;Viajero;Residentes en España;2012M05;..
03133 Torrevieja;Viajero;Residentes en España;2012M04;..
03133 Torrevieja;Viajero;Residentes en España;2012M03;256
03133 Torrevieja;Viajero;Residentes en España;2012M02;331
03133 Torrevieja;Viajero;Residentes en España;2012M01;667
03133 Torrevieja;Viajero;Residentes en España;2011M12;437
03133 Torrevieja;Viajero;Residentes en España;2011M11;313
03133 Torrevieja;Viajero;Residentes en España;2011M10;""
03133 Torrevieja;Viajero;Residentes en España;2011M09;""
03133 Torrevieja;Viajero;Residentes en España;2011M08;""
03133 Torrevieja;Viajero;Residentes en España;2011M07;""
03133 Torrevieja;Viajero;Residentes en España;2011M06;""
03133 Torrevieja;Viajero;Residentes en España;2011M05;""
03133 Torrevieja;Viajero;Residentes en España;2011M04;""
03133 Torrevieja;Viajero;Residentes en España;2011M03;""
03133 Torrevieja;Viajero;Residentes en España;2011M02;""
03133 Torrevieja;Viajero;Residentes en España;2011M01;""
03133 Torrevieja;Viajero;Residentes en España;2010M12;""
03133 Torrevieja;Viajero;Residentes en España;2010M11;""
03133 Torrevieja;Viajero;Residentes en España;2010M10;""
03133 Torrevieja;Viajero;Residentes en España;2010M09;""
03133 Torrevieja;Viajero;Residentes en España;2010M08;""
03133 Torrevieja;Viajero;Residentes en España;2010M07;""
03133 Torrevieja;Viajero;Residentes en España;2010M06;""
03133 Torrevieja;Viajero;Residentes en España;2010M05;""
03133 Torrevieja;Viajero;Residentes en España;2010M04;""
03133 Torrevieja;Viajero;Residentes en España;2010M03;""
03133 Torrevieja;Viajero;Residentes en España;2010M02;""
03133 Torrevieja;Viajero;Residentes en España;2010M01;""
03133 Torrevieja;Viajero;Residentes en España;2009M12;..
03133 Torrevieja;Viajero;Residentes en España;2009M11;20
03133 Torrevieja;Viajero;Residentes en España;2009M10;62
03133 Torrevieja;Viajero;Residentes en España;2009M09;24
03133 Torrevieja;Viajero;Residentes en España;2009M08;352
03133 Torrevieja;Viajero;Residentes en España;2009M07;350
03133 Torrevieja;Viajero;Residentes en España;2009M06;129
03133 Torrevieja;Viajero;Residentes en España;2009M05;28
03133 Torrevieja;Viajero;Residentes en España;2009M04;37
03133 Torrevieja;Viajero;Residentes en España;2009M03;10
03133 Torrevieja;Viajero;Residentes en España;2009M02;20
03133 Torrevieja;Viajero;Residentes en España;2009M01;35
03133 Torrevieja;Viajero;Residentes en España;2008M12;185
03133 Torrevieja;Viajero;Residentes en España;2008M11;58
03133 Torrevieja;Viajero;Residentes en España;2008M10;151
03133 Torrevieja;Viajero;Residentes en España;2008M09;334
03133 Torrevieja;Viajero;Residentes en España;2008M08;963
03133 Torrevieja;Viajero;Residentes en España;2008M07;359
03133 Torrevieja;Viajero;Residentes en España;2008M06;214
03133 Torrevieja;Viajero;Residentes en España;2008M05;260
03133 Torrevieja;Viajero;Residentes en España;2008M04;192
03133 Torrevieja;Viajero;Residentes en España;2008M03;353
03133 Torrevieja;Viajero;Residentes en España;2008M02;134
03133 Torrevieja;Viajero;Residentes en España;2008M01;72
03133 Torrevieja;Viajero;Residentes en España;2007M12;546
03133 Torrevieja;Viajero;Residentes en España;2007M11;132
03133 Torrevieja;Viajero;Residentes en España;2007M10;76
03133 Torrevieja;Viajero;Residentes en España;2007M09;416
03133 Torrevieja;Viajero;Residentes en España;2007M08;1.381
03133 Torrevieja;Viajero;Residentes en España;2007M07;970
03133 Torrevieja;Viajero;Residentes en España;2007M06;328
03133 Torrevieja;Viajero;Residentes en España;2007M05;316
03133 Torrevieja;Viajero;Residentes en España;2007M04;530
03133 Torrevieja;Viajero;Residentes en España;2007M03;510
03133 Torrevieja;Viajero;Residentes en España;2007M02;68
03133 Torrevieja;Viajero;Residentes en España;2007M01;22
03133 Torrevieja;Viajero;Residentes en España;2006M12;430
03133 Torrevieja;Viajero;Residentes en España;2006M11;76
03133 Torrevieja;Viajero;Residentes en España;2006M10;138
03133 Torrevieja;Viajero;Residentes en España;2006M09;542
03133 Torrevieja;Viajero;Residentes en España;2006M08;732
03133 Torrevieja;Viajero;Residentes en España;2006M07;814
03133 Torrevieja;Viajero;Residentes en España;2006M06;116
03133 Torrevieja;Viajero;Residentes en España;2006M05;37
03133 Torrevieja;Viajero;Residentes en España;2006M04;136
03133 Torrevieja;Viajero;Residentes en España;2006M03;64
03133 Torrevieja;Viajero;Residentes en España;2006M02;34
03133 Torrevieja;Viajero;Residentes en España;2006M01;0
03133 Torrevieja;Viajero;Residentes en España;2005M12;22
03133 Torrevieja;Viajero;Residentes en España;2005M11;0
03133 Torrevieja;Viajero;Residentes en España;2005M10;0
03133 Torrevieja;Viajero;Residentes en España;2005M09;103
03133 Torrevieja;Viajero;Residentes en España;2005M08;1.411
03133 Torrevieja;Viajero;Residentes en España;2005M07;54
03133 Torrevieja;Viajero;Residentes en España;2005M06;69
03133 Torrevieja;Viajero;Residentes en España;2005M05;15
03133 Torrevieja;Viajero;Residentes en España;2005M04;7
03133 Torrevieja;Viajero;Residentes en España;2005M03;483
03133 Torrevieja;Viajero;Residentes en España;2005M02;8
03133 Torrevieja;Viajero;Residentes en España;2005M01;0
03133 Torrevieja;Viajero;Residentes en el Extranjero;2026M01;4.195
03133 Torrevieja;Viajero;Residentes en el Extranjero;2025M12;3.355
03133 Torrevieja;Viajero;Residentes en el Extranjero;2025M11;4.063
03133 Torrevieja;Viajero;Residentes en el Extranjero;2025M10;9.228
03133 Torrevieja;Viajero;Residentes en el Extranjero;2025M09;7.393
03133 Torrevieja;Viajero;Residentes en el Extranjero;2025M08;9.999
03133 Torrevieja;Viajero;Residentes en el Extranjero;2025M07;9.077
03133 Torrevieja;Viajero;Residentes en el Extranjero;2025M06;6.648
03133 Torrevieja;Viajero;Residentes en el Extranjero;2025M05;8.056
03133 Torrevieja;Viajero;Residentes en el Extranjero;2025M04;5.535
03133 Torrevieja;Viajero;Residentes en el Extranjero;2025M03;4.091
03133 Torrevieja;Viajero;Residentes en el Extranjero;2025M02;3.991
03133 Torrevieja;Viajero;Residentes en el Extranjero;2025M01;4.959
03133 Torrevieja;Viajero;Residentes en el Extranjero;2024M12;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2024M11;1.699
03133 Torrevieja;Viajero;Residentes en el Extranjero;2024M10;3.663
03133 Torrevieja;Viajero;Residentes en el Extranjero;2024M09;3.619
03133 Torrevieja;Viajero;Residentes en el Extranjero;2024M08;7.709
03133 Torrevieja;Viajero;Residentes en el Extranjero;2024M07;7.076
03133 Torrevieja;Viajero;Residentes en el Extranjero;2024M06;3.998
03133 Torrevieja;Viajero;Residentes en el Extranjero;2024M05;2.860
03133 Torrevieja;Viajero;Residentes en el Extranjero;2024M04;2.463
03133 Torrevieja;Viajero;Residentes en el Extranjero;2024M03;2.115
03133 Torrevieja;Viajero;Residentes en el Extranjero;2024M02;985
03133 Torrevieja;Viajero;Residentes en el Extranjero;2024M01;1.482
03133 Torrevieja;Viajero;Residentes en el Extranjero;2023M12;889
03133 Torrevieja;Viajero;Residentes en el Extranjero;2023M11;895
03133 Torrevieja;Viajero;Residentes en el Extranjero;2023M10;6.924
03133 Torrevieja;Viajero;Residentes en el Extranjero;2023M09;9.522
03133 Torrevieja;Viajero;Residentes en el Extranjero;2023M08;19.700
03133 Torrevieja;Viajero;Residentes en el Extranjero;2023M07;12.346
03133 Torrevieja;Viajero;Residentes en el Extranjero;2023M06;14.834
03133 Torrevieja;Viajero;Residentes en el Extranjero;2023M05;9.472
03133 Torrevieja;Viajero;Residentes en el Extranjero;2023M04;14.919
03133 Torrevieja;Viajero;Residentes en el Extranjero;2023M03;1.304
03133 Torrevieja;Viajero;Residentes en el Extranjero;2023M02;872
03133 Torrevieja;Viajero;Residentes en el Extranjero;2023M01;1.557
03133 Torrevieja;Viajero;Residentes en el Extranjero;2022M12;1.459
03133 Torrevieja;Viajero;Residentes en el Extranjero;2022M11;1.212
03133 Torrevieja;Viajero;Residentes en el Extranjero;2022M10;2.254
03133 Torrevieja;Viajero;Residentes en el Extranjero;2022M09;3.335
03133 Torrevieja;Viajero;Residentes en el Extranjero;2022M08;5.541
03133 Torrevieja;Viajero;Residentes en el Extranjero;2022M07;5.407
03133 Torrevieja;Viajero;Residentes en el Extranjero;2022M06;6.262
03133 Torrevieja;Viajero;Residentes en el Extranjero;2022M05;2.523
03133 Torrevieja;Viajero;Residentes en el Extranjero;2022M04;2.384
03133 Torrevieja;Viajero;Residentes en el Extranjero;2022M03;894
03133 Torrevieja;Viajero;Residentes en el Extranjero;2022M02;818
03133 Torrevieja;Viajero;Residentes en el Extranjero;2022M01;634
03133 Torrevieja;Viajero;Residentes en el Extranjero;2021M12;923
03133 Torrevieja;Viajero;Residentes en el Extranjero;2021M11;797
03133 Torrevieja;Viajero;Residentes en el Extranjero;2021M10;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2021M09;1.144
03133 Torrevieja;Viajero;Residentes en el Extranjero;2021M08;3.678
03133 Torrevieja;Viajero;Residentes en el Extranjero;2021M07;1.681
03133 Torrevieja;Viajero;Residentes en el Extranjero;2021M06;269
03133 Torrevieja;Viajero;Residentes en el Extranjero;2021M05;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2021M04;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2021M03;34
03133 Torrevieja;Viajero;Residentes en el Extranjero;2021M02;8
03133 Torrevieja;Viajero;Residentes en el Extranjero;2021M01;73
03133 Torrevieja;Viajero;Residentes en el Extranjero;2020M12;213
03133 Torrevieja;Viajero;Residentes en el Extranjero;2020M11;83
03133 Torrevieja;Viajero;Residentes en el Extranjero;2020M10;61
03133 Torrevieja;Viajero;Residentes en el Extranjero;2020M09;222
03133 Torrevieja;Viajero;Residentes en el Extranjero;2020M08;387
03133 Torrevieja;Viajero;Residentes en el Extranjero;2020M07;188
03133 Torrevieja;Viajero;Residentes en el Extranjero;2020M06;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2020M05;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2020M04;0
03133 Torrevieja;Viajero;Residentes en el Extranjero;2020M03;290
03133 Torrevieja;Viajero;Residentes en el Extranjero;2020M02;1.457
03133 Torrevieja;Viajero;Residentes en el Extranjero;2020M01;1.688
03133 Torrevieja;Viajero;Residentes en el Extranjero;2019M12;2.763
03133 Torrevieja;Viajero;Residentes en el Extranjero;2019M11;1.494
03133 Torrevieja;Viajero;Residentes en el Extranjero;2019M10;2.527
03133 Torrevieja;Viajero;Residentes en el Extranjero;2019M09;2.443
03133 Torrevieja;Viajero;Residentes en el Extranjero;2019M08;4.025
03133 Torrevieja;Viajero;Residentes en el Extranjero;2019M07;4.216
03133 Torrevieja;Viajero;Residentes en el Extranjero;2019M06;3.822
03133 Torrevieja;Viajero;Residentes en el Extranjero;2019M05;4.668
03133 Torrevieja;Viajero;Residentes en el Extranjero;2019M04;4.495
03133 Torrevieja;Viajero;Residentes en el Extranjero;2019M03;2.414
03133 Torrevieja;Viajero;Residentes en el Extranjero;2019M02;1.531
03133 Torrevieja;Viajero;Residentes en el Extranjero;2019M01;2.028
03133 Torrevieja;Viajero;Residentes en el Extranjero;2018M12;2.197
03133 Torrevieja;Viajero;Residentes en el Extranjero;2018M11;2.286
03133 Torrevieja;Viajero;Residentes en el Extranjero;2018M10;5.185
03133 Torrevieja;Viajero;Residentes en el Extranjero;2018M09;5.868
03133 Torrevieja;Viajero;Residentes en el Extranjero;2018M08;8.928
03133 Torrevieja;Viajero;Residentes en el Extranjero;2018M07;11.049
03133 Torrevieja;Viajero;Residentes en el Extranjero;2018M06;5.692
03133 Torrevieja;Viajero;Residentes en el Extranjero;2018M05;5.701
03133 Torrevieja;Viajero;Residentes en el Extranjero;2018M04;6.776
03133 Torrevieja;Viajero;Residentes en el Extranjero;2018M03;2.149
03133 Torrevieja;Viajero;Residentes en el Extranjero;2018M02;1.723
03133 Torrevieja;Viajero;Residentes en el Extranjero;2018M01;1.838
03133 Torrevieja;Viajero;Residentes en el Extranjero;2017M12;1.240
03133 Torrevieja;Viajero;Residentes en el Extranjero;2017M11;1.807
03133 Torrevieja;Viajero;Residentes en el Extranjero;2017M10;2.527
03133 Torrevieja;Viajero;Residentes en el Extranjero;2017M09;2.806
03133 Torrevieja;Viajero;Residentes en el Extranjero;2017M08;3.351
03133 Torrevieja;Viajero;Residentes en el Extranjero;2017M07;3.491
03133 Torrevieja;Viajero;Residentes en el Extranjero;2017M06;3.217
03133 Torrevieja;Viajero;Residentes en el Extranjero;2017M05;2.972
03133 Torrevieja;Viajero;Residentes en el Extranjero;2017M04;2.142
03133 Torrevieja;Viajero;Residentes en el Extranjero;2017M03;2.173
03133 Torrevieja;Viajero;Residentes en el Extranjero;2017M02;1.640
03133 Torrevieja;Viajero;Residentes en el Extranjero;2017M01;1.171
03133 Torrevieja;Viajero;Residentes en el Extranjero;2016M12;974
03133 Torrevieja;Viajero;Residentes en el Extranjero;2016M11;1.196
03133 Torrevieja;Viajero;Residentes en el Extranjero;2016M10;2.386
03133 Torrevieja;Viajero;Residentes en el Extranjero;2016M09;2.113
03133 Torrevieja;Viajero;Residentes en el Extranjero;2016M08;1.846
03133 Torrevieja;Viajero;Residentes en el Extranjero;2016M07;1.666
03133 Torrevieja;Viajero;Residentes en el Extranjero;2016M06;1.343
03133 Torrevieja;Viajero;Residentes en el Extranjero;2016M05;1.546
03133 Torrevieja;Viajero;Residentes en el Extranjero;2016M04;1.688
03133 Torrevieja;Viajero;Residentes en el Extranjero;2016M03;1.038
03133 Torrevieja;Viajero;Residentes en el Extranjero;2016M02;1.171
03133 Torrevieja;Viajero;Residentes en el Extranjero;2016M01;1.339
03133 Torrevieja;Viajero;Residentes en el Extranjero;2015M12;779
03133 Torrevieja;Viajero;Residentes en el Extranjero;2015M11;982
03133 Torrevieja;Viajero;Residentes en el Extranjero;2015M10;2.508
03133 Torrevieja;Viajero;Residentes en el Extranjero;2015M09;1.987
03133 Torrevieja;Viajero;Residentes en el Extranjero;2015M08;1.283
03133 Torrevieja;Viajero;Residentes en el Extranjero;2015M07;1.739
03133 Torrevieja;Viajero;Residentes en el Extranjero;2015M06;1.746
03133 Torrevieja;Viajero;Residentes en el Extranjero;2015M05;1.864
03133 Torrevieja;Viajero;Residentes en el Extranjero;2015M04;1.916
03133 Torrevieja;Viajero;Residentes en el Extranjero;2015M03;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2015M02;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2015M01;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2014M12;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2014M11;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2014M10;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2014M09;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2014M08;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2014M07;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2014M06;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2014M05;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2014M04;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2014M03;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2014M02;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2014M01;.
03133 Torrevieja;Viajero;Residentes en el Extranjero;2013M12;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2013M11;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2013M10;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2013M09;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2013M08;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2013M07;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2013M06;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2013M05;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2013M04;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2013M03;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2013M02;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2013M01;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2012M12;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2012M11;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2012M10;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2012M09;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2012M08;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2012M07;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2012M06;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2012M05;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2012M04;..
03133 Torrevieja;Viajero;Residentes en el Extranjero;2012M03;609
03133 Torrevieja;Viajero;Residentes en el Extranjero;2012M02;579
03133 Torrevieja;Viajero;Residentes en el Extranjero;2012M01;657
03133 Torrevieja;Viajero;Residentes en el Extranjero;2011M12;250
03133 Torrevieja;Viajero;Residentes en el Extranjero;2011M11;530
03133 Torrevieja;Viajero;Residentes en el Extranjero;2011M10;""
03133 Torrevieja;Viajero;Residentes en el Extranjero;2011M09;""
03133 Torrevieja;Viajero;Residentes en el Extranjero;2011M08;""
03133 Torrevieja;Viajero;Residentes en el Extranjero;2011M07;""
03133 Torrevieja;Viajero;Residentes en el Extranjero;2011M06;""
03133 Torrevieja;Viajero;Residentes en el Extranjero;2011M05;""
03133 Torrevieja;Viajero;Residentes en el Extranjero;2011M04;""
03133 Torrevieja;Viajero;Residentes en el Extranjero;2011M03;""
03133 Torrevieja;Viajero;Residentes en el Extranjero;2011M02;""
03133 Torrevieja;Viajero;Residentes en el Extranjero;2011M01;""
03133 Torrevieja;Viajero;Residentes en el Extranjero;2010M12;""
03133 Torrevieja;Viajero;Residentes en el Extranjero;2010M11;""
03133 Torrevieja;Viajero;Residentes en el Extranjero;2010M10;""
